city,x,y,terrain
1,5,48,1.7643422065165917
2,3,64,1.0557653872778048
3,88,75,1.8010299436288169
4,56,24,1.3500523231524837
5,68,14,1.8021653183945883
6,3,33,1.6483440698810594
7,26,85,1.4537923700131956
8,5,17,1.7821571564361327
9,86,65,1.7707448093957057
10,64,10,1.2013839927231955
11,80,42,1.2815668041119834
12,53,21,1.8010880840164267
13,87,46,1.3302254323525244
14,52,29,1.6999156979326964
15,4,32,1.9485046155107426
16,94,58,1.1102857237138364
17,89,20,1.6412090343421337
18,48,9,1.9558337966328305
19,92,58,1.4066180508841857
20,4,53,1.7571986452388033
21,94,55,1.3946902913134556
22,87,54,1.0950192774808758
23,14,52,1.7533206977364277
24,27,13,1.9003139389970747
25,65,65,1.1992458768856193
26,79,14,1.1324209906365605
27,46,1,1.9166580513158835
28,94,78,1.3978921964115647
29,46,37,1.5284567728467457
30,54,23,1.0314068217755972
31,7,88,1.03322622548015
32,59,22,1.6901773724478528
33,2,72,1.7443545571713632
34,74,40,1.6552049240591002
35,84,96,1.0688001057731171
36,66,70,1.2605314238687195
37,67,35,1.943107599996075
38,36,11,1.632620090528121
39,98,37,1.1848582704070587
40,18,24,1.1591951956353668
41,87,74,1.9124323636138167
42,29,24,1.1405849245148367
43,85,23,1.877399014536639
44,52,100,1.1522943528480174
45,97,17,1.8224273957449988
46,97,8,1.922742082757928
47,65,75,1.1755015606879056
48,81,28,1.3853600965999568
49,11,83,1.4354382381245938
50,16,60,1.7923669272359843
51,86,56,1.5600907452893717
52,96,79,1.2031719977268764
53,10,5,1.0743294363298856
54,85,50,1.148930543248059
55,11,83,1.9919124056589936
56,70,6,1.8225441488852314
57,99,76,1.1797246129049492
58,91,92,1.3038391667502036
59,3,38,1.6298247084814423
60,84,2,1.852526260664502
61,55,35,1.6367306719486192
62,27,39,1.000971410568631
63,31,51,1.2406559667652424
64,60,3,1.7766508620264962
65,36,1,1.3226115030235348
66,38,86,1.9493782570007077
67,77,87,1.0506058455526786
68,87,69,1.3398316469532194
69,40,84,1.9762133791127745
70,14,11,1.6835586932906819
71,57,16,1.6132436745174008
72,10,10,1.736523905035022
73,34,22,1.8995901790769123
74,45,96,1.7143491447917554
75,51,17,1.3771383208528438
76,47,44,1.1912572408695392
77,32,58,1.5502586662213607
78,1,42,1.1135028452754037
79,63,92,1.4691634698575218
80,17,66,1.8223881190101816
81,37,82,1.0103862499059224
82,77,27,1.2229887364582699
83,23,60,1.6793057621034486
84,68,4,1.3716390012617523
85,57,67,1.0814192386794765
86,49,87,1.9572275085530781
87,54,90,1.671911987023794
88,83,58,1.64481689857114
89,35,13,1.7921179620578553
90,57,11,1.2611185033478494
91,56,52,1.2847230229929822
92,86,94,1.6934247729339234
93,4,65,1.1263760196983763
94,73,15,1.394861226388434
95,68,32,1.077783232936226
96,81,28,1.9718677062372874
97,85,7,1.2835746885718222
98,65,79,1.0984179256737399
99,59,29,1.9002676219137746
100,31,76,1.4863476725570295
