Round,Time,Best Solution Stakeholder,Best Solution Fitness,Time-Competitive-Selfless,Distance-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfish,Time-Competitive-Selfish,Balanced-Competitive-Selfless
1,2022-04-24 14:51:37.684890,Balanced-Competitive-Selfish,0.15429705040033562,0.14359934351238685,0.14809907635261296,0.14622262974486347,0.15429705040033562,0.14338544485024465,0.148911993777675
2,2022-04-24 14:52:08.128954,Time-Competitive-Selfish,0.16959552731461036,0.15774321112188558,0.1674543964262656,0.16053632773652393,0.16563302461367488,0.16959552731461036,0.16458277796842033
3,2022-04-24 14:52:38.761043,Distance-Competitive-Selfless,0.18641828182829887,0.16215697416086258,0.18641828182829887,0.17830361055454522,0.1736457499098033,0.1826917898513641,0.1785463104393907
4,2022-04-24 14:53:09.204458,Time-Competitive-Selfish,0.19669415766497264,0.18048408897639237,0.19612990670564737,0.18436895821054894,0.18945084284488067,0.19669415766497264,0.19361195044078267
5,2022-04-24 14:53:39.664139,Balanced-Competitive-Selfless,0.209258112132338,0.19136443593941818,0.20420435374467355,0.19434771069915652,0.20062105866165605,0.20652983008101683,0.209258112132338
6,2022-04-24 14:54:10.063183,Balanced-Competitive-Selfless,0.219592836668713,0.19804112525089293,0.2132660794225218,0.20042898454114705,0.21166290823047293,0.2185958177514556,0.219592836668713
7,2022-04-24 14:54:40.636806,Time-Competitive-Selfish,0.2348189102111838,0.19979599027521996,0.22711640872690672,0.21627091756186279,0.21857592399078665,0.2348189102111838,0.2218614713339544
8,2022-04-24 14:55:11.261543,Distance-Competitive-Selfless,0.23792335447270815,0.20672073609624186,0.23792335447270815,0.21783809959513856,0.2255295771306673,0.23725298022717037,0.23784658715149606
9,2022-04-24 14:55:41.683976,Distance-Competitive-Selfless,0.2513180669088759,0.2254769224336882,0.2513180669088759,0.2259161335288056,0.23347756986343463,0.24729948738965152,0.24733210110873732
10,2022-04-24 14:56:12.093668,Distance-Competitive-Selfless,0.26121712319332124,0.22669824689989668,0.26121712319332124,0.23328113435008788,0.2503181362875048,0.25074089616292167,0.25368126320459855
11,2022-04-24 14:56:42.598716,Distance-Competitive-Selfless,0.271015557830933,0.22669824689989668,0.271015557830933,0.23577224452656714,0.25999976800898095,0.2525296869257749,0.2613722340190886
12,2022-04-24 14:57:13.070759,Balanced-Competitive-Selfish,0.3014816003931665,0.22965792799831616,0.27947461196358164,0.2481088576777742,0.3014816003931665,0.25187682392195915,0.2678500585195687
13,2022-04-24 14:57:43.484527,Balanced-Competitive-Selfish,0.3040547344900823,0.23001620700956096,0.2867891635271074,0.25734304796552554,0.3040547344900823,0.24957099346854675,0.2814330667077925
14,2022-04-24 14:58:14.078384,Balanced-Competitive-Selfish,0.31641792108097067,0.23205080221774455,0.2952284628031418,0.26746758966377254,0.31641792108097067,0.25415826689929294,0.28401470755130226
15,2022-04-24 14:58:44.568600,Balanced-Competitive-Selfish,0.32031316943163696,0.23205080221774455,0.3011431784886799,0.2693822382065038,0.32031316943163696,0.26043643726157056,0.2913419075340726
16,2022-04-24 14:59:14.995219,Balanced-Competitive-Selfish,0.32592360434906315,0.23205080221774455,0.2991322104329983,0.27358778826750296,0.32592360434906315,0.26342036866828206,0.30074631108668337
17,2022-04-24 14:59:45.546898,Balanced-Competitive-Selfish,0.32864009521447035,0.24244145879505374,0.303410467258468,0.27753314002444407,0.32864009521447035,0.26440118091068726,0.30089866057446146
18,2022-04-24 15:00:16.043333,Balanced-Competitive-Selfish,0.33664682785132305,0.24656469947312448,0.31802769364289096,0.27961729899176974,0.33664682785132305,0.2662135232410937,0.30417802434422664
19,2022-04-24 15:00:46.511680,Balanced-Competitive-Selfish,0.34790268407446934,0.24867733866830993,0.3224053355509668,0.2921087912215538,0.34790268407446934,0.26801171532322343,0.31101499794060533
20,2022-04-24 15:01:16.900730,Balanced-Competitive-Selfish,0.35077444367106936,0.2528524972334436,0.32435827690496627,0.30355839746166463,0.35077444367106936,0.27123714590155684,0.3169562693447299
21,2022-04-24 15:01:47.506019,Balanced-Competitive-Selfish,0.36454483931057663,0.2545388232356043,0.33442042433419267,0.30748790807391113,0.36454483931057663,0.28233877808298813,0.31774052113231144
22,2022-04-24 15:02:17.893642,Balanced-Competitive-Selfish,0.36454483931057663,0.260557093979481,0.33468294888886435,0.3178171728798517,0.36454483931057663,0.2919289115578382,0.3270517731670747
23,2022-04-24 15:02:48.397129,Balanced-Competitive-Selfish,0.36454483931057663,0.2714302238485518,0.33468294888886435,0.3267156282577012,0.36454483931057663,0.2965971132140345,0.3270517731670747
