Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfless,Time-Competitive-Selfless,Balanced-Competitive-Selfish,Time-Competitive-Selfish
1,2022-04-12 09:19:27.729655,Distance-Competitive-Selfish,0.1573355677048856,0.15268431458098736,0.1573355677048856,0.14881213695605283,0.14876702354543464,0.15439904018452338,0.14588608954154073
2,2022-04-12 09:19:58.110854,Distance-Competitive-Selfish,0.17065133292226742,0.16760368690740554,0.17065133292226742,0.1693556022014683,0.1675104680911728,0.164181839511559,0.16669388956435524
3,2022-04-12 09:20:28.616279,Balanced-Competitive-Selfless,0.18237312550425236,0.1740173456785508,0.18185111769616802,0.18237312550425236,0.18151556419711207,0.17909485395502264,0.17782109450601183
4,2022-04-12 09:20:59.088214,Balanced-Competitive-Selfish,0.1990202257515391,0.18264377252743924,0.19208095594910082,0.1870703082691843,0.18151556419711207,0.1990202257515391,0.18178979622146538
5,2022-04-12 09:21:29.509973,Balanced-Competitive-Selfish,0.20586727121564552,0.19332123913620594,0.1988575326566685,0.19882908861548546,0.1944675743781543,0.20586727121564552,0.18126202631882335
6,2022-04-12 09:21:59.873185,Distance-Competitive-Selfish,0.2122110620354147,0.200553715891326,0.2122110620354147,0.20372523552216706,0.1999814294104101,0.21147258865833918,0.18657893890245028
7,2022-04-12 09:22:30.252287,Balanced-Competitive-Selfish,0.22886037049013477,0.21361068473730851,0.2247632228469642,0.21183704157802385,0.2050827783395902,0.22886037049013477,0.18818598362281783
8,2022-04-12 09:23:00.694056,Balanced-Competitive-Selfish,0.235523231361163,0.22392044961683594,0.23167852919287923,0.21412968112453845,0.20620302482044522,0.235523231361163,0.19505292461670568
9,2022-04-12 09:23:31.115533,Balanced-Competitive-Selfish,0.24474346632420982,0.2296546978728165,0.23133921370509106,0.22408148335248942,0.20804442798726158,0.24474346632420982,0.21423786222681637
10,2022-04-12 09:24:01.589211,Balanced-Competitive-Selfish,0.2545035726265542,0.23815448598568978,0.23502610823553247,0.2269392891067207,0.21083506921042805,0.2545035726265542,0.21489556196208046
11,2022-04-12 09:24:31.921599,Balanced-Competitive-Selfish,0.26514718000934234,0.2573925811550196,0.23920400694867733,0.23789861856875896,0.21332118712953194,0.26514718000934234,0.2170073547484961
