Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Time-Cooperative-Selfless,Balanced-Cooperative-Selfish,Distance-Cooperative-Selfish,Time-Cooperative-Selfish,Balanced-Cooperative-Selfless
1,2022-04-24 14:20:23.022271,Balanced-Cooperative-Selfless,0.1596143220044508,0.15256655854174517,0.1473017020675953,0.1486118379818885,0.15415402656643487,0.15197488277211094,0.1596143220044508
2,2022-04-24 14:20:53.324692,Balanced-Cooperative-Selfless,0.18076147462490016,0.17470323634599957,0.17356499505133047,0.16712089822868678,0.17312518997803286,0.17580290301802098,0.18076147462490016
3,2022-04-24 14:21:23.959909,Balanced-Cooperative-Selfless,0.19407865655073375,0.19137540116735333,0.19147795308038892,0.1891701143206652,0.19095728229884687,0.18673807514658564,0.19407865655073375
4,2022-04-24 14:21:54.434876,Distance-Cooperative-Selfless,0.20506808025389692,0.20506808025389692,0.19573428641795634,0.20050540782169737,0.20054519276079633,0.20155843541944674,0.20251796736915018
5,2022-04-24 14:22:24.951688,Distance-Cooperative-Selfless,0.219009227948376,0.219009227948376,0.20792864327314706,0.20717455224734022,0.209394065504644,0.21232550216961268,0.2087800988560474
6,2022-04-24 14:22:55.522318,Distance-Cooperative-Selfish,0.23409999405922977,0.23009904606865636,0.21232550216961268,0.2264960280081273,0.23409999405922977,0.2193672418090203,0.22187825218869073
7,2022-04-24 14:23:26.000349,Distance-Cooperative-Selfish,0.24244080716160624,0.24225310890451593,0.23409999405922977,0.23870474614174436,0.24244080716160624,0.23240346196013043,0.2390246677081241
8,2022-04-24 14:23:56.551931,Distance-Cooperative-Selfless,0.25258636809455354,0.25258636809455354,0.2432531914698865,0.2464188992475348,0.2488338379611363,0.24225310890451593,0.2471327217465654
9,2022-04-24 14:24:26.996686,Time-Cooperative-Selfless,0.263547574830321,0.26140749459841567,0.263547574830321,0.2529185886163538,0.26199799266361923,0.25969274286022126,0.25810537171335274
10,2022-04-24 14:24:57.518902,Balanced-Cooperative-Selfish,0.2675994011278338,0.263547574830321,0.26700791721394046,0.2675994011278338,0.263547574830321,0.2672943749884203,0.263547574830321
11,2022-04-24 14:25:28.077318,Distance-Cooperative-Selfish,0.28244161480338004,0.27205699354135315,0.27542448327203767,0.2773125065789142,0.28244161480338004,0.27122123407817694,0.2684656142757394
12,2022-04-24 14:25:58.650380,Distance-Cooperative-Selfless,0.28943055293007497,0.28943055293007497,0.28244161480338004,0.28563591520832576,0.28749326922915314,0.2827810610002667,0.2851084012915296
13,2022-04-24 14:26:29.253392,Distance-Cooperative-Selfless,0.31004640203843287,0.31004640203843287,0.29291804234489066,0.293728932361226,0.2954667608207153,0.2957004200007289,0.30202562270576633
14,2022-04-24 14:26:59.839706,Distance-Cooperative-Selfless,0.33295523026285295,0.33295523026285295,0.3154426807754138,0.33147289592899754,0.31004640203843287,0.32818298001762486,0.3213377327340302
15,2022-04-24 14:27:30.446149,Distance-Cooperative-Selfish,0.3396642502587578,0.33455990099156113,0.33810926192906793,0.3348311487099103,0.3396642502587578,0.33164048678983515,0.33421717043543064
16,2022-04-24 14:28:01.082810,Distance-Cooperative-Selfless,0.34516239515498315,0.34516239515498315,0.33810926192906793,0.34017767924234393,0.3401474753668804,0.3424719167533663,0.3434433700052738
17,2022-04-24 14:28:31.631183,Distance-Cooperative-Selfish,0.35283568222454575,0.3476055603747616,0.3455644638726701,0.35032846872993684,0.35283568222454575,0.3474142055608948,0.34516239515498315
18,2022-04-24 14:29:02.150957,Distance-Cooperative-Selfish,0.36705249651835264,0.35283568222454575,0.35686832008737435,0.35780336756267456,0.36705249651835264,0.35032846872993684,0.35709414501755915
19,2022-04-24 14:29:32.708687,Distance-Cooperative-Selfless,0.3774414728928065,0.3774414728928065,0.3774414728928065,0.3774414728928065,0.3747441439994664,0.3682287203439858,0.3747441439994664
20,2022-04-24 14:30:03.116254,Balanced-Cooperative-Selfish,0.38078030112049505,0.3774414728928065,0.3805714284139448,0.38078030112049505,0.3774414728928065,0.3589880407384691,0.3774414728928065
21,2022-04-24 14:30:33.650237,Balanced-Cooperative-Selfless,0.38309286908289086,0.38078030112049505,0.3805714284139448,0.38293995474157316,0.3818396613900791,0.3805714284139448,0.38309286908289086
22,2022-04-24 14:31:04.180827,Time-Cooperative-Selfless,0.38786298068138575,0.3844356374124674,0.38786298068138575,0.3843634028121896,0.38297900889941044,0.38647605378672995,0.3843634028121896
23,2022-04-24 14:31:34.784142,Time-Cooperative-Selfless,0.39388956641638506,0.38464684782027103,0.39388956641638506,0.38786298068138575,0.38297900889941044,0.38786298068138575,0.3888595426802631
24,2022-04-24 14:32:05.300020,Balanced-Cooperative-Selfish,0.3948835427225148,0.38464684782027103,0.39431050457871003,0.3948835427225148,0.3857587599817537,0.39388956641638506,0.3942249018895837
25,2022-04-24 14:32:35.837390,Balanced-Cooperative-Selfish,0.3970544327814344,0.3857587599817537,0.3948835427225148,0.3970544327814344,0.3850973939162005,0.395002859515571,0.3954615376991796
26,2022-04-24 14:33:06.414662,Balanced-Cooperative-Selfish,0.40183425374668547,0.38576849007435116,0.401531862420978,0.40183425374668547,0.3850368990637805,0.3970544327814344,0.3989295499426729
27,2022-04-24 14:33:37.016852,Time-Cooperative-Selfless,0.4052149667531923,0.40183425374668547,0.4052149667531923,0.4020022079910276,0.401531862420978,0.40183425374668547,0.40243279087303335
28,2022-04-24 14:34:07.643555,Distance-Cooperative-Selfless,0.4052149667531923,0.4052149667531923,0.4052149667531923,0.4052149667531923,0.4052149667531923,0.40183425374668547,0.4052149667531923
29,2022-04-24 14:34:38.165406,Distance-Cooperative-Selfless,0.40597202646100145,0.40597202646100145,0.40444866341156777,0.4034536063916091,0.39738839451333746,0.4052149667531923,0.4052149667531923
30,2022-04-24 14:35:08.734892,Distance-Cooperative-Selfless,0.40783109641680365,0.40783109641680365,0.40444866341156777,0.40597202646100145,0.40597202646100145,0.4003096893042725,0.40597202646100145
31,2022-04-24 14:35:39.368844,Distance-Cooperative-Selfless,0.40783109641680365,0.40783109641680365,0.4047249179829944,0.40783109641680365,0.40783109641680365,0.40444866341156777,0.40783109641680365
32,2022-04-24 14:36:09.841729,Balanced-Cooperative-Selfless,0.40949545128102727,0.40783109641680365,0.4050382821833778,0.4067107427643025,0.40783109641680365,0.4047249179829944,0.40949545128102727
33,2022-04-24 14:36:40.386788,Distance-Cooperative-Selfless,0.40949545128102727,0.40949545128102727,0.4061092691708924,0.40949545128102727,0.40949545128102727,0.4050382821833778,0.40949545128102727
34,2022-04-24 14:37:10.999848,Balanced-Cooperative-Selfish,0.41227052260573405,0.40949545128102727,0.4061092691708924,0.41227052260573405,0.40949545128102727,0.4061092691708924,0.40949545128102727
35,2022-04-24 14:37:41.699462,Distance-Cooperative-Selfless,0.41227052260573405,0.41227052260573405,0.406623709568271,0.40959979807817154,0.40949545128102727,0.4038190556857614,0.41227052260573405
36,2022-04-24 14:38:11.839869,Distance-Cooperative-Selfish,0.41382810715715573,0.41227052260573405,0.406623709568271,0.41259292203772546,0.41382810715715573,0.4073461735331836,0.41227052260573405
37,2022-04-24 14:38:42.455133,Distance-Cooperative-Selfless,0.41429276450554364,0.41429276450554364,0.41291859340421494,0.41382810715715573,0.4024515581155483,0.4140245362703163,0.41390423700888573
38,2022-04-24 14:39:13.106353,Time-Cooperative-Selfish,0.4154686707078206,0.41429276450554364,0.4140245362703163,0.41526832086720794,0.41429276450554364,0.4154686707078206,0.41429276450554364
39,2022-04-24 14:39:43.748013,Balanced-Cooperative-Selfless,0.41573621989341736,0.41526832086720794,0.4154686707078206,0.4027891471291281,0.4153974484543622,0.4154686707078206,0.41573621989341736
40,2022-04-24 14:40:14.349613,Balanced-Cooperative-Selfless,0.41785531567337386,0.41573621989341736,0.4154686707078206,0.41573621989341736,0.4138037385978014,0.40821153152985384,0.41785531567337386
41,2022-04-24 14:40:44.955881,Distance-Cooperative-Selfless,0.41785531567337386,0.41785531567337386,0.4175329377801612,0.41785531567337386,0.3992562456670046,0.40390747084061585,0.41785531567337386
42,2022-04-24 14:41:15.484638,Balanced-Cooperative-Selfish,0.4193263450464605,0.4180224857237363,0.4175329377801612,0.4193263450464605,0.41612245520478996,0.41140422402793725,0.41785531567337386
43,2022-04-24 14:41:46.149050,Distance-Cooperative-Selfless,0.4193263450464605,0.4193263450464605,0.41766347779304774,0.3935710370799129,0.39740067745881463,0.4187763508436423,0.4193263450464605
44,2022-04-24 14:42:16.814357,Distance-Cooperative-Selfless,0.4193263450464605,0.4193263450464605,0.4187763508436423,0.4175812877589687,0.4128428009518237,0.4187763508436423,0.4193263450464605
45,2022-04-24 14:42:47.383915,Balanced-Cooperative-Selfish,0.42344758886232464,0.4193263450464605,0.4187763508436423,0.42344758886232464,0.41631788176581236,0.4187763508436423,0.4193263450464605
46,2022-04-24 14:43:17.936076,Distance-Cooperative-Selfless,0.42344758886232464,0.42344758886232464,0.42344758886232464,0.42344758886232464,0.42344758886232464,0.42344758886232464,0.42344758886232464
47,2022-04-24 14:43:48.651192,Balanced-Cooperative-Selfish,0.42378771361313233,0.42358185404926263,0.42344758886232464,0.42378771361313233,0.42344758886232464,0.42344758886232464,0.42344758886232464
48,2022-04-24 14:44:19.297987,Balanced-Cooperative-Selfless,0.4260910964471524,0.42344758886232464,0.42378771361313233,0.4116028396948479,0.40623898274213815,0.4245691001488389,0.4260910964471524
49,2022-04-24 14:44:50.074788,Time-Cooperative-Selfless,0.4268810080104013,0.4257472658372282,0.4268810080104013,0.4260910964471524,0.4188611044886792,0.4260910964471524,0.42622704352299423
50,2022-04-24 14:45:20.800231,Distance-Cooperative-Selfish,0.42906316919115484,0.4257472658372282,0.4268810080104013,0.4248298558743713,0.42906316919115484,0.4155436132829686,0.42733050712308646
51,2022-04-24 14:45:51.535139,Balanced-Cooperative-Selfless,0.4295441104869788,0.42906316919115484,0.4293807697423468,0.42906316919115484,0.4216281437814632,0.42527504344945505,0.4295441104869788
52,2022-04-24 14:46:22.185427,Distance-Cooperative-Selfless,0.43329734243675616,0.43329734243675616,0.4295441104869788,0.4164621796778957,0.41051742349029086,0.4285760588351661,0.4295441104869788
53,2022-04-24 14:46:52.951001,Time-Cooperative-Selfless,0.4340850583298971,0.43329734243675616,0.4340850583298971,0.43329734243675616,0.398564919981131,0.40900106601132236,0.43329734243675616
54,2022-04-24 14:47:23.654725,Time-Cooperative-Selfless,0.4340850583298971,0.43329734243675616,0.4340850583298971,0.4294609950846666,0.4273643524393263,0.4340850583298971,0.4340850583298971
55,2022-04-24 14:47:54.452073,Time-Cooperative-Selfless,0.4340850583298971,0.43329734243675616,0.4340850583298971,0.4219905075547668,0.4220290494342231,0.4155314902256235,0.4340850583298971
56,2022-04-24 14:48:24.896089,Time-Cooperative-Selfless,0.4340850583298971,0.4329417882943415,0.4340850583298971,0.415542433698966,0.4171794898747308,0.4256873381707511,0.4340850583298971
57,2022-04-24 14:48:55.593430,Time-Cooperative-Selfless,0.4340850583298971,0.4329417882943415,0.4340850583298971,0.4203916208994489,0.4289451366642625,0.4256873381707511,0.4340850583298971
58,2022-04-24 14:49:26.267906,Balanced-Cooperative-Selfish,0.4342381054765235,0.4329417882943415,0.4340850583298971,0.4342381054765235,0.42453010819881304,0.4256873381707511,0.4340850583298971
59,2022-04-24 14:49:57.070590,Balanced-Cooperative-Selfish,0.4342381054765235,0.4329417882943415,0.4256873381707511,0.4342381054765235,0.4329417882943415,0.42484172889717514,0.4342381054765235
60,2022-04-24 14:50:27.692661,Balanced-Cooperative-Selfish,0.4342381054765235,0.4329417882943415,0.4273815232663657,0.4342381054765235,0.42225774910435615,0.42484172889717514,0.4342381054765235
