Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Time-Cooperative-Selfless,Time-Cooperative-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfless,Balanced-Cooperative-Selfish
1,2022-04-12 09:50:19.515849,Time-Cooperative-Selfless,0.15595859013909982,0.1540828034472927,0.15595859013909982,0.14401050537226798,0.15003553742092543,0.14907490742142554,0.15004572165865582
2,2022-04-12 09:50:49.859831,Balanced-Cooperative-Selfish,0.17741792334729,0.17276457945406848,0.17252375013316065,0.16388169068691008,0.16436676970620148,0.1641378926049579,0.17741792334729
3,2022-04-12 09:51:20.236127,Balanced-Cooperative-Selfish,0.19198243980665652,0.19088375673487762,0.19106308375923084,0.18627504846795367,0.18919405541926662,0.18596006247166194,0.19198243980665652
4,2022-04-12 09:51:50.645634,Balanced-Cooperative-Selfish,0.2028315496249023,0.20047252064299506,0.1986846927305704,0.20167706352221096,0.20123725006726004,0.20127711954717015,0.2028315496249023
5,2022-04-12 09:52:21.033269,Balanced-Cooperative-Selfish,0.2134601872602904,0.20818494141811647,0.20605651989238705,0.2057174469395006,0.2052192504346198,0.2057874870121438,0.2134601872602904
6,2022-04-12 09:52:51.519360,Balanced-Cooperative-Selfish,0.230808940286032,0.22248748088938225,0.221071655299669,0.22228391429882183,0.22210779946779807,0.2190395870309281,0.230808940286032
7,2022-04-12 09:53:21.908925,Balanced-Cooperative-Selfish,0.24134357078244015,0.230808940286032,0.23052329796212778,0.2342428037620351,0.2244231082305018,0.2359852353800967,0.24134357078244015
8,2022-04-12 09:53:52.343452,Balanced-Cooperative-Selfish,0.2544195417390407,0.2485619641400101,0.24373715467789125,0.25251451100203526,0.24679282700489977,0.25103874600475884,0.2544195417390407
9,2022-04-12 09:54:22.726224,Balanced-Cooperative-Selfish,0.26114161720715157,0.258927261661642,0.25788133538834257,0.2553985894315614,0.25924168505151723,0.25936946205621575,0.26114161720715157
10,2022-04-12 09:54:53.171694,Balanced-Cooperative-Selfish,0.2783922803984817,0.27430225022021787,0.2668878320110449,0.26276119060090725,0.2752249357128246,0.26587215209923787,0.2783922803984817
11,2022-04-12 09:55:23.586263,Distance-Cooperative-Selfless,0.29312660870196755,0.29312660870196755,0.2781024335158415,0.28313033066809357,0.27205867088184404,0.2922534617237825,0.2847688421718555
12,2022-04-12 09:55:54.038477,Balanced-Cooperative-Selfless,0.30283392299772466,0.29633491472809154,0.2922534617237825,0.29274732354407895,0.29312660870196755,0.30283392299772466,0.29312660870196755
13,2022-04-12 09:56:24.520483,Balanced-Cooperative-Selfless,0.30614281016330447,0.30283392299772466,0.30283392299772466,0.2939762041174265,0.30352974331404203,0.30614281016330447,0.30283392299772466
14,2022-04-12 09:56:54.915956,Distance-Cooperative-Selfless,0.3259416220212176,0.3259416220212176,0.3117479524672235,0.30823780471623297,0.31332281750942625,0.32186654696769534,0.31980571377373923
15,2022-04-12 09:57:25.449569,Balanced-Cooperative-Selfish,0.3276271453256403,0.3259416220212176,0.32740074401933983,0.3259416220212176,0.3259416220212176,0.3259416220212176,0.3276271453256403
16,2022-04-12 09:57:55.950375,Balanced-Cooperative-Selfless,0.34179703928360156,0.32883013973539504,0.3400087015864477,0.3280292718783739,0.32303620758798557,0.34179703928360156,0.3296351292828245
17,2022-04-12 09:58:26.478360,Balanced-Cooperative-Selfless,0.3428517951647416,0.33942664192738803,0.34179703928360156,0.34179703928360156,0.33513174023713405,0.3428517951647416,0.34179703928360156
18,2022-04-12 09:58:57.018806,Balanced-Cooperative-Selfless,0.35320461091691185,0.34983507056005786,0.34805095209063897,0.3428517951647416,0.34196081079158347,0.35320461091691185,0.3428517951647416
19,2022-04-12 09:59:27.439456,Distance-Cooperative-Selfless,0.3562146179096613,0.3562146179096613,0.35320461091691185,0.3562146179096613,0.34916449410060935,0.35574852021597814,0.353990000368613
20,2022-04-12 09:59:58.008848,Balanced-Cooperative-Selfish,0.3595080914076579,0.3567593865524662,0.3568207555343254,0.3562146179096613,0.35720919258792994,0.3562146179096613,0.3595080914076579
21,2022-04-12 10:00:28.552524,Time-Cooperative-Selfless,0.37386987954119455,0.3722289555184667,0.37386987954119455,0.36008457402775645,0.372779542707912,0.3735526364375375,0.3631325550203096
22,2022-04-12 10:00:59.046031,Distance-Cooperative-Selfless,0.38165551863692837,0.38165551863692837,0.37689270331932423,0.3728742965898209,0.37898873078572143,0.3780513694437452,0.38059789585695525
23,2022-04-12 10:01:29.779761,Time-Cooperative-Selfish,0.38812605590672633,0.38690682423194905,0.38059789585695525,0.38812605590672633,0.38622812714428845,0.38577884179308386,0.38499948786212074
24,2022-04-12 10:02:00.285560,Distance-Cooperative-Selfless,0.39407576920367854,0.39407576920367854,0.38812605590672633,0.38812605590672633,0.3895234171130204,0.39227905461693285,0.39315783155567835
25,2022-04-12 10:02:30.780887,Balanced-Cooperative-Selfless,0.39816577536877484,0.39540176848044045,0.39593840168354516,0.3887292792188047,0.39315783155567835,0.39816577536877484,0.39593601211106316
