Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Distance-Competitive-Selfless,Balanced-Competitive-Selfless,Balanced-Cooperative-Selfless,Time-Competitive-Selfless,Time-Cooperative-Selfless
1,2022-04-24 16:55:26.240664,Time-Competitive-Selfless,0.16411533091402428,0.15450186448797715,0.1522610414393559,0.15531501289872016,0.15701070313830714,0.16411533091402428,0.14993675183620223
2,2022-04-24 16:55:56.803419,Time-Competitive-Selfless,0.1812894196301819,0.17598050872393686,0.17341901653397984,0.16988226537976311,0.17330075810642287,0.1812894196301819,0.17434293968223682
3,2022-04-24 16:56:27.281706,Distance-Cooperative-Selfless,0.19776527823876094,0.19776527823876094,0.18737308656254695,0.18634655930651256,0.19352456324852405,0.19101560062695608,0.18935716105471465
4,2022-04-24 16:56:57.897654,Balanced-Cooperative-Selfless,0.21895016419013033,0.214643598224336,0.19852922086842312,0.196405053461935,0.21895016419013033,0.19621615670471776,0.20775901563021287
5,2022-04-24 16:57:28.480896,Balanced-Cooperative-Selfless,0.22315401846033453,0.22237719822604293,0.22120355529035124,0.20452248018872562,0.22315401846033453,0.20696863695422718,0.220190932419779
6,2022-04-24 16:57:59.101884,Distance-Cooperative-Selfless,0.2375274993781643,0.2375274993781643,0.22807646254336042,0.21590531501964227,0.2241878204550654,0.22301223462459524,0.2239563314193038
7,2022-04-24 16:58:29.688089,Distance-Cooperative-Selfless,0.2467350692486106,0.2467350692486106,0.2358246814461045,0.22048452938774918,0.241156420925754,0.2271583931238084,0.24312529027453678
8,2022-04-24 16:59:00.296351,Distance-Cooperative-Selfless,0.2586133576978386,0.2586133576978386,0.2375735634610866,0.23555394271889984,0.2521143071029677,0.22887927057005011,0.2515648581986745
9,2022-04-24 16:59:30.884881,Distance-Cooperative-Selfless,0.27219225321174656,0.27219225321174656,0.25183016382304,0.2495157462532466,0.2683595517799232,0.23672136344319958,0.26096826560813574
10,2022-04-24 17:00:01.408063,Balanced-Cooperative-Selfless,0.28296819917809307,0.27774296709734647,0.26068906968954286,0.25257722237599856,0.28296819917809307,0.23821642291887932,0.27472412923906503
11,2022-04-24 17:00:31.970493,Balanced-Cooperative-Selfless,0.2955154467833758,0.2923137238061351,0.26068906968954286,0.25472299362218426,0.2955154467833758,0.2399545090009569,0.2841102716324889
12,2022-04-24 17:01:02.456490,Distance-Cooperative-Selfless,0.2955154467833758,0.2955154467833758,0.26556587592651987,0.26520395979428396,0.2955154467833758,0.23994803408471924,0.2955154467833758
13,2022-04-24 17:01:33.171425,Time-Cooperative-Selfless,0.2996722871484568,0.2955154467833758,0.26601261617232225,0.26520395979428396,0.29732988268936134,0.23998041163489225,0.2996722871484568
14,2022-04-24 17:02:03.830067,Time-Cooperative-Selfless,0.3008677320787708,0.29807356366324655,0.26832020135306656,0.2780092224639956,0.2996722871484568,0.24715163079910443,0.3008677320787708
15,2022-04-24 17:02:34.341296,Time-Cooperative-Selfless,0.3096183686214069,0.29732988268936134,0.27320354446682327,0.2824389273805416,0.3018555244199792,0.25137021243126556,0.3096183686214069
16,2022-04-24 17:03:04.909829,Balanced-Cooperative-Selfless,0.3096183686214069,0.307466161991279,0.2802398248526673,0.2852373994000068,0.3096183686214069,0.2517792681797386,0.3093966094475918
17,2022-04-24 17:03:35.510103,Time-Cooperative-Selfless,0.3207498927560375,0.316103390056535,0.28414481036023476,0.28609120400546356,0.31098594169538346,0.2517792681797386,0.3207498927560375
18,2022-04-24 17:04:06.085002,Distance-Cooperative-Selfless,0.3261157403116769,0.3261157403116769,0.29224371501845153,0.2969154756462431,0.32213230377283275,0.25349697749842764,0.320090398413915
19,2022-04-24 17:04:36.590447,Distance-Cooperative-Selfless,0.3287072156658932,0.3287072156658932,0.2975308812931967,0.29933169996264763,0.3261157403116769,0.25508343156806434,0.3240964885449661
20,2022-04-24 17:05:07.282648,Distance-Cooperative-Selfless,0.333331748572985,0.333331748572985,0.297116410381792,0.29933169996264763,0.3322178202750716,0.2561511752496793,0.3240964885449661
21,2022-04-24 17:05:37.864026,Distance-Cooperative-Selfless,0.33765813610312584,0.33765813610312584,0.3048497549649447,0.3113586694188334,0.33637700695941364,0.25814078917921346,0.3240964885449661
22,2022-04-24 17:06:08.375619,Distance-Cooperative-Selfless,0.33970383367533485,0.33970383367533485,0.3129512843309097,0.31927434199115273,0.33941800656012877,0.2658153416553791,0.3291549292022399
23,2022-04-24 17:06:39.019040,Distance-Cooperative-Selfless,0.3442627152069699,0.3442627152069699,0.32002423695242266,0.32313855124549606,0.34418896234956836,0.26777775288818395,0.3291549292022399
24,2022-04-24 17:07:09.615393,Balanced-Cooperative-Selfless,0.3473696230938512,0.34596402674275517,0.3274366214895536,0.3248288145639294,0.3473696230938512,0.26594470396006414,0.3308674298383711
25,2022-04-24 17:07:40.187013,Balanced-Cooperative-Selfless,0.3504792530104361,0.3464641234573048,0.32777952851352626,0.3248288145639294,0.3504792530104361,0.2676753352412808,0.3473696230938512
26,2022-04-24 17:08:10.811758,Balanced-Cooperative-Selfless,0.3504792530104361,0.34775654341152795,0.33877581093098735,0.3248288145639294,0.3504792530104361,0.27686194191518526,0.3504792530104361
27,2022-04-24 17:08:41.462740,Balanced-Cooperative-Selfless,0.3504792530104361,0.3491833441914675,0.33877581093098735,0.3276368217095633,0.3504792530104361,0.284351306603259,0.3504792530104361
28,2022-04-24 17:09:12.152679,Time-Cooperative-Selfless,0.35690658202259923,0.3468667774267069,0.338169571356611,0.33194853184203077,0.35313792621196455,0.28540062937985555,0.35690658202259923
29,2022-04-24 17:09:42.684183,Time-Cooperative-Selfless,0.36644379471534466,0.35690658202259923,0.3502761711256519,0.33359159215120254,0.3600443248086733,0.28632975520985504,0.36644379471534466
30,2022-04-24 17:10:13.400483,Time-Cooperative-Selfless,0.38169195597157857,0.37981316066509996,0.3503765415222297,0.34114427516115337,0.3719698052250556,0.2934869891262287,0.38169195597157857
31,2022-04-24 17:10:44.038994,Time-Cooperative-Selfless,0.388688898499574,0.38712780409007236,0.3503765415222297,0.3422499987823471,0.38169195597157857,0.29916902597653955,0.388688898499574
32,2022-04-24 17:11:14.533027,Time-Cooperative-Selfless,0.3911388020637897,0.388688898499574,0.3503765415222297,0.3422499987823471,0.388688898499574,0.3002422241031871,0.3911388020637897
33,2022-04-24 17:11:45.145847,Distance-Cooperative-Selfless,0.3949613252135408,0.3949613252135408,0.3503765415222297,0.3422499987823471,0.3911388020637897,0.3001412693288981,0.3949613252135408
34,2022-04-24 17:12:15.800863,Distance-Cooperative-Selfless,0.39648251314399297,0.39648251314399297,0.3503765415222297,0.3422499987823471,0.3949613252135408,0.30397184670021854,0.39600383138580375
35,2022-04-24 17:12:46.437286,Distance-Cooperative-Selfless,0.3999856283522663,0.3999856283522663,0.3523534552913255,0.34533847973807325,0.39648251314399297,0.30397184670021854,0.3978892247497696
36,2022-04-24 17:13:16.943068,Distance-Cooperative-Selfless,0.40059979069399193,0.40059979069399193,0.3523534552913255,0.34533847973807325,0.4000474867526748,0.30397184670021854,0.3999856283522663
37,2022-04-24 17:13:47.610063,Time-Cooperative-Selfless,0.4027927879019728,0.40059979069399193,0.3523534552913255,0.3471715154818528,0.40059979069399193,0.30397184670021854,0.4027927879019728
38,2022-04-24 17:14:18.457005,Balanced-Cooperative-Selfless,0.40704049119484675,0.4024801626574421,0.3523534552913255,0.3602246606286427,0.40704049119484675,0.30397184670021854,0.4041750722451329
39,2022-04-24 17:14:49.033793,Distance-Cooperative-Selfless,0.40704049119484675,0.40704049119484675,0.3523534552913255,0.3602246606286427,0.40704049119484675,0.30397184670021854,0.40704049119484675
40,2022-04-24 17:15:19.638265,Balanced-Cooperative-Selfless,0.40739400634206996,0.40704049119484675,0.3523534552913255,0.36221378267764887,0.40739400634206996,0.30397184670021854,0.40704049119484675
41,2022-04-24 17:15:50.320500,Balanced-Cooperative-Selfless,0.40739400634206996,0.40704049119484675,0.356072501605849,0.3657844408818796,0.40739400634206996,0.30397184670021854,0.40739400634206996
42,2022-04-24 17:16:21.002070,Balanced-Cooperative-Selfless,0.40880810696421127,0.40704049119484675,0.356072501605849,0.372546545608005,0.40880810696421127,0.30397184670021854,0.40739400634206996
43,2022-04-24 17:16:51.569016,Distance-Cooperative-Selfless,0.40958804476630634,0.40958804476630634,0.356072501605849,0.372546545608005,0.40880810696421127,0.30397184670021854,0.40880810696421127
44,2022-04-24 17:17:22.227308,Time-Cooperative-Selfless,0.41440417541862845,0.40945077862456425,0.35697429584288637,0.372546545608005,0.40958804476630634,0.3092117060771491,0.41440417541862845
45,2022-04-24 17:17:53.031394,Distance-Cooperative-Selfless,0.4148408244494031,0.4148408244494031,0.35755152678836216,0.372546545608005,0.41440417541862845,0.3092117060771491,0.41440417541862845
46,2022-04-24 17:18:23.730611,Distance-Cooperative-Selfless,0.4148408244494031,0.4148408244494031,0.35755152678836216,0.37360140494468524,0.4148408244494031,0.3092117060771491,0.4148408244494031
47,2022-04-24 17:18:54.561950,Distance-Cooperative-Selfless,0.4148408244494031,0.4148408244494031,0.35755152678836216,0.37360140494468524,0.4148408244494031,0.31386162356730984,0.4148408244494031
